lease_number,region,month,R,mean_in,mean_out,ncells_in,ncells_out,log_anomaly,behavior
OCS-A 0519,Mid-Atlantic,Aug,0.35189192920560114,0.001109170657582581,0.0031520207357029835,10,17449,-1.0444311698263844,Avoidance (R < 1)
OCS-A 0519,Mid-Atlantic,Sep,0.45712496909919054,0.0016269583953544497,0.003559110758181795,10,17449,-0.7827984701107553,Avoidance (R < 1)
OCS-A 0519,Mid-Atlantic,Oct,0.28422962074582886,0.0031477643176913263,0.011074722998368286,10,17449,-1.2579728437472686,Avoidance (R < 1)
OCS-A 0519,Mid-Atlantic,Nov,0.30929863037709543,0.008528750529512763,0.027574485276945945,10,17449,-1.1734480274383392,Avoidance (R < 1)
OCS-A 0519,Mid-Atlantic,Dec,0.7452409574499401,0.029782153107225894,0.03996311905498893,10,17449,-0.29404768007698484,Avoidance (R < 1)
OCS-A 0520,Southern New England,Jan,7.612465589535614,0.3129556756970045,0.041110947828415186,37,19458,2.029787112767752,Selection (R > 1)
OCS-A 0520,Southern New England,Feb,9.969179833824079,0.3616713313637553,0.03627894544911843,37,19458,2.2994983171821115,Selection (R > 1)
OCS-A 0520,Southern New England,Mar,8.327988131415895,0.34761323638864466,0.04174036164596991,37,19458,2.1196219061694688,Selection (R > 1)
OCS-A 0520,Southern New England,Apr,7.094256083865647,0.36911232004294525,0.052029742890507075,37,19458,1.9592854543558869,Selection (R > 1)
OCS-A 0520,Southern New England,May,5.333402944719618,0.28014171626922246,0.05252588622552497,37,19458,1.6739894856214215,Selection (R > 1)
OCS-A 0520,Southern New England,Jun,1.5913969345635544,0.044052636754271145,0.027681740361246026,37,19458,0.4646122057080625,Selection (R > 1)
OCS-A 0520,Southern New England,Jul,0.9656315742706624,0.020699661514545616,0.021436396723232654,37,19458,-0.034972910613015606,Avoidance (R < 1)
OCS-A 0520,Southern New England,Aug,15.322826147557464,0.016107882385620394,0.0010512344283295331,37,19458,2.729343621682785,Selection (R > 1)
OCS-A 0520,Southern New England,Sep,24.96438522957013,0.02477799347173926,9.925336932547376e-4,37,19458,3.2174502183567606,Selection (R > 1)
OCS-A 0520,Southern New England,Oct,5.75108980572832,0.04400848257481246,0.007652198811254559,37,19458,1.7493893682814587,Selection (R > 1)
OCS-A 0520,Southern New England,Nov,2.8501640844376896,0.05634384365701998,0.019768631555167494,37,19458,1.0473765661101782,Selection (R > 1)
OCS-A 0520,Southern New England,Dec,7.682694268804673,0.16268009194047064,0.02117487514777567,37,19458,2.0389703018885568,Selection (R > 1)
OCS-A 0521,Southern New England,Jan,7.417562397757932,0.3049430207482406,0.041110947828415186,35,19458,2.003850485383107,Selection (R > 1)
OCS-A 0521,Southern New England,Feb,9.575088839439703,0.34737412567649567,0.03627894544911843,35,19458,2.2591648132941318,Selection (R > 1)
OCS-A 0521,Southern New England,Mar,7.631849088988298,0.3185561410018376,0.04174036164596991,35,19458,2.0323301604950763,Selection (R > 1)
OCS-A 0521,Southern New England,Apr,6.430120701960818,0.3345575268779482,0.052029742890507075,35,19458,1.8609933097624274,Selection (R > 1)
OCS-A 0521,Southern New England,May,5.032009138767375,0.264310739508697,0.05252588622552497,35,19458,1.6158193355267316,Selection (R > 1)
OCS-A 0521,Southern New England,Jun,1.6084618172321683,0.044525022405598844,0.027681740361246026,35,19458,0.475278329294064,Selection (R > 1)
OCS-A 0521,Southern New England,Jul,1.0206837985032233,0.021879782833691155,0.021436396723232654,35,19458,0.020472793374155456,Selection (R > 1)
OCS-A 0521,Southern New England,Aug,14.529616653326832,0.015274033256407296,0.0010512344283295331,35,19458,2.67618909411831,Selection (R > 1)
