month,region,wea,dens_90,dens_75,dens_50,dens_avg,ann_reg_90,ann_reg_75,ann_reg_50,ann_reg_avg,ann_coast_avg,constraint
August,Mid-Atlantic,OCS-A 0490,0.0014098463114351036,0.001053077430697158,8.944526489358395e-4,0.001011228292814589,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
August,Mid-Atlantic,OCS-A 0498,0.0013645900296978652,0.0013297337281983346,0.0013105684192851186,0.0013015971635468304,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
August,Mid-Atlantic,OCS-A 0499,0.0012006090255454183,0.0011780023633036762,0.0011457055807113647,0.0011366090475348756,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
August,Mid-Atlantic,OCS-A 0508,0.0011036683223210276,8.12691476312466e-4,7.097302586771548e-4,7.979735770883659e-4,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
August,Mid-Atlantic,OCS-A 0512,0.003306504478678107,0.00318995863199234,0.0030642582569271326,0.002960238910208528,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
August,Mid-Atlantic,OCS-A 0519,0.0011318295961245894,0.0011042722035199404,0.0010583432158455253,0.0010803283269827564,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
August,Mid-Atlantic,OCS-A 0532,0.0013439179048873485,0.0013220896653365344,0.0012476424453780055,0.0012455495074391366,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
August,Mid-Atlantic,OCS-A 0537,0.0035104363225400446,0.0034143139491789043,0.0031086867675185204,0.0031013043564079063,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
August,Mid-Atlantic,OCS-A 0538,0.003783794632181526,0.0031231127213686705,0.00219350284896791,0.002476173981379431,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
August,Mid-Atlantic,OCS-A 0539,0.004346612794324756,0.0037282754201442003,0.002954082447104156,0.0030668279375984436,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
August,Mid-Atlantic,OCS-A 0541,0.003030723286792636,0.0027549498481675982,0.0023014150792732835,0.0023219700919331183,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
August,Mid-Atlantic,OCS-A 0542,0.004536491725593806,0.004361639730632305,0.003669382189400494,0.003788879107949989,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
August,Mid-Atlantic,OCS-A 0544,0.0038313280092552304,0.003561407793313265,0.003334913053549826,0.003403105967057248,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
August,Mid-Atlantic,OCS-A 0549,0.0012291247490793468,0.0012093170080333948,0.001166056259535253,0.0011539780713904363,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
August,Southeast,OCS-A 0545,0,0,0,0,0.0016891249455511601,2.981222223752411e-5,1.0755775747384178e-5,0.002123676119939638,0.02216512590611698,0km
August,Southeast,OCS-A 0546,0,0,0,0,0.0016891249455511601,2.981222223752411e-5,1.0755775747384178e-5,0.002123676119939638,0.02216512590611698,0km
August,Southern New England,OCS-A 0486,0.02763402760028839,0.02545911120250821,0.022468474693596363,0.021446012038116653,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
August,Southern New England,OCS-A 0487,0.016422510333359244,0.012139574624598026,0.007712252903729677,0.00942518112852293,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
August,Southern New England,OCS-A 0500,0.03717161789536476,0.03455005772411823,0.025846373289823532,0.023086569899612146,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
August,Southern New England,OCS-A 0501,0.04174208641052246,0.03927977383136749,0.03663591295480728,0.037430111318826675,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
August,Southern New England,OCS-A 0517,0.020348870381712916,0.01900391187518835,0.01676231436431408,0.01659674073259036,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
August,Southern New England,OCS-A 0520,0.02874867115169764,0.01965744886547327,0.011029551271349192,0.014239635947160423,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
August,Southern New England,OCS-A 0521,0.02953169532120229,0.021715405397117138,0.010084729176014662,0.01519910532515496,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
August,Southern New England,OCS-A 0522,0.06564445272088054,0.040818206034600735,0.02442364487797022,0.032154997387392956,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
August,Southern New England,OCS-A 0534,0.02849468309432268,0.02281478326767683,0.014267033897340298,0.016012138890800998,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
December,Mid-Atlantic,OCS-A 0482,0.10271981060504916,0.07248474657535553,0.05751835182309151,0.058248141780495644,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
December,Mid-Atlantic,OCS-A 0483,0.0439039520919323,0.042180645279586315,0.04041182063519955,0.040496698953211306,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
December,Mid-Atlantic,OCS-A 0490,0.04049714021384716,0.03849767427891493,0.02835414931178093,0.0314901073330215,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
December,Mid-Atlantic,OCS-A 0498,0.040131210908293725,0.0364604564383626,0.035468919202685356,0.03598414951314529,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
December,Mid-Atlantic,OCS-A 0499,0.04812261834740639,0.039455022662878036,0.035468289628624916,0.03802561364136636,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
December,Mid-Atlantic,OCS-A 0508,0.01372892400249839,0.009885863633826375,0.008351294789463282,0.009483515879967146,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
December,Mid-Atlantic,OCS-A 0512,0.06293809860944748,0.06081300228834152,0.0588342659175396,0.05799930313458809,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
December,Mid-Atlantic,OCS-A 0519,0.03084719702601433,0.029091324657201767,0.026164870709180832,0.02763707997898261,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
December,Mid-Atlantic,OCS-A 0532,0.046289140731096266,0.04107137583196163,0.035780081525444984,0.038846883550286294,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
December,Mid-Atlantic,OCS-A 0537,0.023097750917077067,0.022659339010715485,0.02141791209578514,0.020787476561963558,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
December,Mid-Atlantic,OCS-A 0538,0.02856895588338375,0.02718876115977764,0.022871647030115128,0.022688499866769865,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
December,Mid-Atlantic,OCS-A 0539,0.04933112859725952,0.046477931551635265,0.041107188910245895,0.04161378265255027,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
December,Mid-Atlantic,OCS-A 0541,0.05296334996819497,0.050449992530047894,0.045683322474360466,0.04497757075088365,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
December,Mid-Atlantic,OCS-A 0542,0.052918439731001854,0.05277345236390829,0.05048581212759018,0.04887587603713785,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
December,Mid-Atlantic,OCS-A 0544,0.06175370514392853,0.060350326821208,0.05587480589747429,0.05618737948437532,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
December,Mid-Atlantic,OCS-A 0549,0.04783184602856636,0.04077913239598274,0.03703966364264488,0.03965132196362202,0.06292186379432677,0.012153170304372907,0.001961317379027605,0.017818752700484945,0.02216512590611698,0km
December,Southeast,OCS-A 0545,0.008626844454556701,0.007609196938574314,0.0047818736638873816,0.005928920372389257,0.0016891249455511601,2.981222223752411e-5,1.0755775747384178e-5,0.002123676119939638,0.02216512590611698,0km
December,Southeast,OCS-A 0546,0.00759909842163324,0.006279572378844023,0.0035834158770740032,0.0047315810807049274,0.0016891249455511601,2.981222223752411e-5,1.0755775747384178e-5,0.002123676119939638,0.02216512590611698,0km
December,Southern New England,OCS-A 0486,0.440136256814003,0.37928031384944916,0.35498619079589844,0.3366132689019044,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
December,Southern New England,OCS-A 0487,0.1516186207532883,0.09874731302261353,0.06172402203083038,0.08151501263765727,0.15008400976657874,0.018916922621428967,2.598425780888647e-4,0.07918808176801849,0.02216512590611698,0km
